date,prcpMin,prcpMax,tmpAvg
1990,16.5,32.4,27.178787878787897
1991,,,
1992,21.2,30.6,26.84644194756555
1993,18.8,31.7,27.07150205761315
1994,17.6,31.2,27.26514285714284
1995,19.9,30.7,25.639583333333274
1996,18.2,30.3,26.82392694063919
1997,18.8,31.7,27.703499079189605
1998,20.9,31.2,27.731714285714204
1999,20.7,30.4,26.838068709377833
2000,20.8,30.6,26.91190476190473
2001,19.9,30.3,27.20228310502282
2002,19.5,30.6,27.438082191780836
2003,19.0,31.8,27.476979742173143
2004,20.5,31.6,27.4243445692884
2005,21.9,34.1,27.616999050332385
2006,19.3,31.1,27.315018315018353
2007,20.9,32.5,27.661144578313298
2008,19.9,31.7,27.362013295346646
2009,19.0,32.6,27.553611111111145
2010,18.1,31.5,27.184949215143146
2011,20.2,31.1,27.46621004566212
2012,20.8,30.3,27.28387978142077
2013,20.9,30.1,27.082051282051307
2014,18.9,30.5,27.1231684981685
2015,21.6,30.8,27.5992694063927
2016,19.7,30.7,27.416347031963518
